N,종목명,현재가,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
754,에넥스,"2,025",500,"1,215","59,992",0.64,"415,150",-13.68,-17.89
755,광명전기,"2,800",500,"1,213","43,338",1.46,"2,593,756",25.93,4.67
756,KBSTAR 중기우량회사채,"105,465",0,"1,213","1,150",0.00,"1,976",N/A,N/A
757,TCC스틸,"5,160","1,000","1,213","23,500",1.10,"2,901,972",-79.38,-1.30
758,KODEX 은선물(H),"5,565",0,"1,208","21,700",0.25,"374,835",N/A,N/A
759,TIGER 반도체,"37,690",0,"1,206","3,200",0.28,"29,970",N/A,N/A
760,세원이앤씨,"1,700",500,"1,205","70,886",4.32,"348,829",-3.97,-15.32
761,신한 인버스 2X 천연가스 선물 ETN(H),"6,005",0,"1,201","20,000",0.00,"71,034",N/A,N/A
762,우리들휴브레인,"2,240",500,"1,200","53,560",1.14,"1,126,269",8.82,20.12
763,두올,"4,430","2,500","1,199","27,067",0.44,"218,008",27.86,3.00
764,이지스밸류리츠,"4,990","1,000","1,198","24,000",2.52,"71,682",0.81,47.51
765,태경비케이,"4,335",500,"1,196","27,583",1.63,"261,528",25.96,3.42
766,문배철강,"5,830",500,"1,195","20,504",0.54,"10,794,728",13.88,7.48
767,TRUE 레버리지 나스닥 100 ETN,"23,900",0,"1,195","5,000",0.00,"6,009",N/A,N/A
768,텔코웨어,"12,300",500,"1,193","9,703",1.32,"20,496",64.06,1.69
769,인천도시가스,"27,250","5,000","1,192","4,375",1.39,"3,639",10.47,6.05
770,휴니드,"8,440","5,000","1,191","14,116",21.61,"448,992",20.84,4.86
771,써니전자,"3,415",500,"1,190","34,845",2.91,"319,061",20.09,9.92
772,한국석유,"18,100",500,"1,186","6,552",0.40,"539,757",35.28,4.60
773,대구백화점,"10,950","5,000","1,185","10,822",0.65,"1,232",-6.66,-6.63
774,조비,"22,800","5,000","1,184","5,192",1.49,"753,378",39.38,6.06
775,삼아알미늄,"10,700",500,"1,177","11,000",33.68,"115,503",33.54,3.20
776,유니켐,"1,710",500,"1,175","68,710",4.02,"385,202",10.75,12.01
777,고려산업,"4,705","1,000","1,173","24,939",2.26,"2,495,651",17.11,6.91
778,대림B&Co,"7,030","1,000","1,172","16,672",3.41,"68,878",-69.60,-1.06
779,솔루스첨단소재1우,"15,900",100,"1,171","7,366",7.41,"14,174",-56.99,N/A
780,신풍제지,"3,345",500,"1,169","34,959",0.38,"180,852",3.55,38.76
781,한국ANKOR유전,"1,670",0,"1,169","70,020",0.04,150,N/A,N/A
782,대우부품,"2,450",500,"1,167","47,646",0.59,"196,733",-32.24,-10.09
